,country,date,count,adjusted_count,RATE_7_day_avg,source,population,F0,F1,RATE,std_error,ci_above,ci_below,jhu_past_100,category,num_sites,country_source
1098,Italy,2020-06-13,0.0,0.0,0.08375745515168674,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.08375745515168674,0.08375745515168674,True,4CE: All minus Severe,1.0,Italy_4CE
1099,Italy,2020-06-14,1.0,70.70499017726824,0.06700596412134956,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.29683642105757574,-0.1628244928148766,True,4CE: All minus Severe,1.0,Italy_4CE
1100,Italy,2020-06-15,1.0,70.70499017726824,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1101,Italy,2020-06-16,0.0,0.0,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.05025447309101237,0.05025447309101237,True,4CE: All minus Severe,1.0,Italy_4CE
1102,Italy,2020-06-17,0.0,0.0,0.05025447309101237,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.05025447309101237,0.05025447309101237,True,4CE: All minus Severe,1.0,Italy_4CE
1103,Italy,2020-06-18,0.0,0.0,0.06700596412134956,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.06700596412134956,0.06700596412134956,True,4CE: All minus Severe,1.0,Italy_4CE
1104,Italy,2020-06-19,1.0,70.70499017726824,0.06700596412134956,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.29683642105757574,-0.1628244928148766,True,4CE: All minus Severe,1.0,Italy_4CE
1105,Italy,2020-06-20,0.0,0.0,0.08375745515168674,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.08375745515168674,0.08375745515168674,True,4CE: All minus Severe,1.0,Italy_4CE
1106,Italy,2020-06-21,2.0,141.4099803545365,0.08375745515168674,4CE,60297396,70.70499017726824,0.11726043721236029,0.23452087442472058,0.16583130063551868,0.40878680439730336,-0.24127189409392985,True,4CE: All minus Severe,1.0,Italy_4CE
1107,Italy,2020-06-22,1.0,70.70499017726824,0.15076341927303546,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.38059387620926166,-0.0790670376631907,True,4CE: All minus Severe,1.0,Italy_4CE
1108,Italy,2020-06-23,1.0,70.70499017726824,0.1340119282426983,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.3638423851789245,-0.09581852869352786,True,4CE: All minus Severe,1.0,Italy_4CE
1109,Italy,2020-06-24,0.0,0.0,0.1340119282426983,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.1340119282426983,0.1340119282426983,True,4CE: All minus Severe,1.0,Italy_4CE
1110,Italy,2020-06-25,4.0,282.819960709073,0.10050894618202393,4CE,60297396,70.70499017726824,0.11726043721236029,0.46904174884944116,0.23452087442472058,0.5601698600544762,-0.3591519676904284,True,4CE: All minus Severe,1.0,Italy_4CE
1111,Italy,2020-06-26,0.0,0.0,0.10050894618202395,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.10050894618202395,0.10050894618202395,True,4CE: All minus Severe,1.0,Italy_4CE
1112,Italy,2020-06-27,0.0,0.0,0.10050894618202395,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.10050894618202395,0.10050894618202395,True,4CE: All minus Severe,1.0,Italy_4CE
1113,Italy,2020-06-28,0.0,0.0,0.11726043721236112,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.11726043721236112,0.11726043721236112,True,4CE: All minus Severe,1.0,Italy_4CE
1114,Italy,2020-06-29,1.0,70.70499017726824,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1115,Italy,2020-06-30,1.0,70.70499017726824,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1116,Italy,2020-07-01,1.0,70.70499017726824,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.11726043721236029,0.11726043721236029,0.28008493002723855,-0.17957598384521378,True,4CE: All minus Severe,1.0,Italy_4CE
1117,Italy,2020-07-02,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1118,Italy,2020-07-03,0.0,0.0,0.0335029820606752,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.0335029820606752,0.0335029820606752,True,4CE: All minus Severe,1.0,Italy_4CE
1119,Italy,2020-07-04,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
1120,Italy,2020-07-05,0.0,0.0,8.326672684688674e-16,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,8.326672684688674e-16,8.326672684688674e-16,True,4CE: All minus Severe,1.0,Italy_4CE
1121,Italy,2020-07-06,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1122,Italy,2020-07-07,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1123,Italy,2020-07-08,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1124,Italy,2020-07-09,3.0,212.11497053180472,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.3517813116370809,0.2031010349695483,0.44833250163132704,-0.34782355544930227,True,4CE: All minus Severe,1.0,Italy_4CE
1125,Italy,2020-07-10,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1126,Italy,2020-07-11,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1127,Italy,2020-07-12,0.0,0.0,0.050254473091012386,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.050254473091012386,0.050254473091012386,True,4CE: All minus Severe,1.0,Italy_4CE
1128,Italy,2020-07-13,0.0,0.0,8.326672684688674e-16,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,8.326672684688674e-16,8.326672684688674e-16,True,4CE: All minus Severe,1.0,Italy_4CE
1129,Italy,2020-07-14,0.0,0.0,0.016751491030338017,4CE,60297396,70.70499017726824,0.11726043721236029,0.0,0.0,0.016751491030338017,0.016751491030338017,True,4CE: All minus Severe,1.0,Italy_4CE
