,country,date,num_sites,cumulative_count,count,date_str,N0,n1,n2,percent_increase,R,C,standard_error,95_CI_below,95_CI_above,category,jhu_past_100
555,USA,2020-06-18,8.0,8551.0,5.0,2020-06-18,8546.0,5.0,34.0,0.058506903814650124,0.058506903814650124,-0.9414930961853498,0.0018214694590772602,-1.025143302843739,-0.8578428895269608,All,False
556,USA,2020-06-19,8.0,8584.0,33.0,2020-06-19,8551.0,33.0,5.0,0.38591977546485795,0.38591977546485795,-0.614080224535142,0.10697076971194086,-1.2551253937123161,0.02696494464203225,All,False
557,USA,2020-06-20,8.0,8589.0,5.0,2020-06-20,8584.0,5.0,33.0,0.05824790307548928,0.05824790307548928,-0.9417520969245107,0.00186790064509639,-1.0264617605893034,-0.8570424332597181,All,False
558,USA,2020-06-21,8.0,8595.0,6.0,2020-06-21,8589.0,6.0,5.0,0.069856793573175,0.069856793573175,-0.930143206426825,0.014947353036300034,-1.1697715674867175,-0.6905148453669325,All,False
559,USA,2020-06-22,8.0,8630.0,35.0,2020-06-22,8595.0,35.0,6.0,0.4072134962187318,0.4072134962187318,-0.5927865037812682,0.09550605462023583,-1.1985059598243262,0.012932952261789699,All,True
560,USA,2020-06-23,8.0,8643.0,13.0,2020-06-23,8630.0,13.0,35.0,0.1506373117033604,0.1506373117033604,-0.8493626882966396,0.004952254610873593,-0.9872923127909157,-0.7114330638023636,All,False
561,USA,2020-06-24,8.0,8676.0,33.0,2020-06-24,8643.0,33.0,13.0,0.3818118708781673,0.3818118708781673,-0.6181881291218327,0.04058401350935797,-1.0130394255582882,-0.2233368326853774,All,False
562,USA,2020-06-25,8.0,8677.0,1.0,2020-06-25,8676.0,1.0,33.0,0.01152604887044721,0.01152604887044721,-0.9884739511295528,0.0003532999597882166,-1.0253146504378234,-0.9516332518212822,All,False
563,USA,2020-06-26,8.0,8690.0,13.0,2020-06-26,8677.0,13.0,1.0,0.14982136683185432,0.14982136683185432,-0.8501786331681457,0.1722678087912194,-1.66367971752658,-0.03667754880971141,All,False
564,USA,2020-06-27,8.0,8706.0,16.0,2020-06-27,8690.0,16.0,13.0,0.18411967779056385,0.18411967779056385,-0.8158803222094362,0.01677074873386653,-1.0697040963836093,-0.5620565480352631,All,False
565,USA,2020-06-28,8.0,8727.0,21.0,2020-06-28,8706.0,21.0,16.0,0.2412129565816678,0.2412129565816678,-0.7587870434183321,0.018712290437783587,-1.0269010768925042,-0.49067300994416013,All,False
566,USA,2020-06-29,8.0,8761.0,34.0,2020-06-29,8727.0,34.0,21.0,0.38959550819296435,0.38959550819296435,-0.6104044918070357,0.02578000800938564,-0.9251051094881197,-0.2957038741259516,All,True
567,USA,2020-06-30,8.0,8771.0,10.0,2020-06-30,8761.0,10.0,34.0,0.1141422212076247,0.1141422212076247,-0.8858577787923753,0.0037403137608775006,-1.0057276638502455,-0.765987893734505,All,False
568,USA,2020-07-01,8.0,8771.0,0.0,2020-07-01,8771.0,0.0,10.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,All,False
569,USA,2020-07-02,8.0,8798.0,27.0,2020-07-02,8771.0,27.0,0.0,0.30783263025880747,0.30783263025880747,-0.6921673697411925,,,,All,False
570,USA,2020-07-03,8.0,8816.0,18.0,2020-07-03,8798.0,18.0,27.0,0.20459195271652647,0.20459195271652647,-0.7954080472834735,0.009127771104921774,-0.9826652113030845,-0.6081508832638625,All,False
571,USA,2020-07-04,8.0,8836.0,20.0,2020-07-04,8816.0,20.0,18.0,0.2268602540834846,0.2268602540834846,-0.7731397459165155,0.015462546053683765,-1.0168627791321545,-0.5294167127008763,All,False
572,USA,2020-07-05,8.0,8862.0,26.0,2020-07-05,8836.0,26.0,20.0,0.29425079221367134,0.29425079221367134,-0.7057492077863287,0.019041716046602226,-0.976212987920799,-0.43528542765185835,All,False
573,USA,2020-07-06,8.0,8880.0,18.0,2020-07-06,8862.0,18.0,26.0,0.2031144211238998,0.2031144211238998,-0.7968855788761002,0.009398841892015258,-0.9869029228538693,-0.6068682348983312,All,True
574,USA,2020-07-07,8.0,8907.0,27.0,2020-07-07,8880.0,27.0,18.0,0.30405405405405406,0.30405405405405406,-0.6959459459459459,0.02202794010226443,-0.9868454727535003,-0.40504641913839157,All,False
575,USA,2020-07-08,8.0,8932.0,25.0,2020-07-08,8907.0,25.0,27.0,0.28067811833389467,0.28067811833389467,-0.7193218816661053,0.01331327127575372,-0.9454728554268554,-0.4931709079053552,All,False
576,USA,2020-07-09,8.0,8955.0,23.0,2020-07-09,8932.0,23.0,25.0,0.2575011195700851,0.2575011195700851,-0.7424988804299149,0.012952317845997294,-0.9655630511010094,-0.5194347097588203,All,False
577,USA,2020-07-10,8.0,8985.0,30.0,2020-07-10,8955.0,30.0,23.0,0.33500837520938026,0.33500837520938026,-0.6649916247906198,0.019445173333469963,-0.938305689335162,-0.3916775602460776,All,False
578,USA,2020-07-11,8.0,8997.0,12.0,2020-07-11,8985.0,12.0,30.0,0.1335559265442404,0.1335559265442404,-0.8664440734557596,0.0050464370686443645,-1.00567910009383,-0.727209046817689,All,False
579,USA,2020-07-12,8.0,9027.0,30.0,2020-07-12,8997.0,30.0,12.0,0.33344448149383127,0.33344448149383127,-0.6665555185061687,0.037052475311043435,-1.0438363014184506,-0.28927473559388667,All,False
580,USA,2020-07-13,8.0,9052.0,25.0,2020-07-13,9027.0,25.0,30.0,0.2769469369668771,0.2769469369668771,-0.7230530630331229,0.011788218095407085,-0.9358572421164197,-0.510248883949826,All,True
581,USA,2020-07-14,8.0,9093.0,41.0,2020-07-14,9052.0,41.0,25.0,0.4529385771100309,0.4529385771100309,-0.5470614228899691,0.02632367726977961,-0.865063055903992,-0.2290597898759461,All,False
582,USA,2020-07-15,8.0,9120.0,27.0,2020-07-15,9093.0,27.0,41.0,0.29693170570768723,0.29693170570768723,-0.7030682942923128,0.009392686428345459,-0.8930234052610149,-0.5131131833236107,All,False
583,USA,2020-07-16,8.0,9151.0,31.0,2020-07-16,9120.0,31.0,27.0,0.3399122807017544,0.3399122807017544,-0.6600877192982456,0.01686861626939343,-0.9146510243139172,-0.4055244142825741,All,False
584,USA,2020-07-17,8.0,9169.0,18.0,2020-07-17,9151.0,18.0,31.0,0.1966998142279532,0.1966998142279532,-0.8033001857720468,0.007593246165976275,-0.974093085130347,-0.6325072864137465,All,False
585,USA,2020-07-18,8.0,9187.0,18.0,2020-07-18,9169.0,18.0,18.0,0.19631366561238955,0.19631366561238955,-0.8036863343876104,0.013047373384364592,-1.0275675296528113,-0.5798051391224095,All,False
586,USA,2020-07-19,8.0,9183.0,0.0,2020-07-19,9187.0,0.0,18.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,All,False
587,USA,2020-07-20,8.0,9207.0,24.0,2020-07-20,9183.0,24.0,0.0,0.2613524991832734,0.2613524991832734,-0.7386475008167266,,,,All,True
